Motion Sensor Data File Thu, Oct 07, 2021 9:39 AM
Time (s)	Distance (cm)	Dist Error (cm)
15.320	18.481	0.239
15.330	18.293	0.239
15.340	18.157	0.239
15.350	18.029	0.239
15.360	17.914	0.239
15.370	17.795	0.239
15.380	17.762	0.239
15.390	17.733	0.239
15.400	17.725	0.239
15.410	17.731	0.239
15.420	17.767	0.239
15.430	17.729	0.239
15.440	17.894	0.239
15.450	18.011	0.239
15.460	18.146	0.239
15.470	18.263	0.239
15.480	18.462	0.239
15.490	18.656	0.239
15.500	18.855	0.239
15.510	19.080	0.239
15.520	19.309	0.239
15.530	19.559	0.239
15.540	19.819	0.239
15.550	20.074	0.239
15.560	20.345	0.239
15.570	20.609	0.239
15.580	20.886	0.239
15.590	21.149	0.239
15.600	21.421	0.239
15.610	21.689	0.239
15.620	21.935	0.239
15.630	22.185	0.239
15.640	22.406	0.239
15.650	22.630	0.239
15.660	22.838	0.239
15.670	23.011	0.239
15.680	23.184	0.239
15.690	23.319	0.239
15.700	23.449	0.239
15.710	23.540	0.239
15.720	23.628	0.239
15.730	23.685	0.239
15.740	23.707	0.239
15.750	23.717	0.239
15.760	23.688	0.239
15.770	23.651	0.239
15.780	23.574	0.239
15.790	23.485	0.239
15.800	23.375	0.239
15.810	23.234	0.239
15.820	23.080	0.239
15.830	22.897	0.239
15.840	22.709	0.239
15.850	22.491	0.239
15.860	22.268	0.239
15.870	22.037	0.239
15.880	21.780	0.239
15.890	21.528	0.239
15.900	21.254	0.239
15.910	20.993	0.239
15.920	20.714	0.239
15.930	20.449	0.239
15.940	20.188	0.239
15.950	19.914	0.239
15.960	19.662	0.239
15.970	19.409	0.239
15.980	19.156	0.239
15.990	18.947	0.239
16.000	18.738	0.239
16.010	18.541	0.239
16.020	18.357	0.239
16.030	18.182	0.239
16.040	18.067	0.239
16.050	17.957	0.239
16.060	17.807	0.239
16.070	17.761	0.239
16.080	17.758	0.239
16.090	17.729	0.239
16.100	17.739	0.239
16.110	17.753	0.239
16.120	17.754	0.239
16.130	17.872	0.239
16.140	17.993	0.239
16.150	18.123	0.239
16.160	18.228	0.239
16.170	18.426	0.239
16.180	18.600	0.239
16.190	18.807	0.239
16.200	19.027	0.239
16.210	19.248	0.239
16.220	19.499	0.239
16.230	19.740	0.239
16.240	20.008	0.239
16.250	20.268	0.239
16.260	20.539	0.239
16.270	20.816	0.239
16.280	21.079	0.239
16.290	21.356	0.239
16.300	21.606	0.239
16.310	21.870	0.239
16.320	22.120	0.239
16.330	22.345	0.239
16.340	22.574	0.239
16.350	22.773	0.239
16.360	22.968	0.239
