Motion Sensor Data File Thu, Oct 07, 2021 10:31 AM
Time (s)	Distance (cm)	Dist Error (cm)
10.040	20.000	0.239
10.050	20.019	0.239
10.060	20.029	0.239
10.070	20.059	0.239
10.080	20.095	0.239
10.090	20.122	0.239
10.100	20.167	0.239
10.110	20.206	0.239
10.120	20.259	0.239
10.130	20.303	0.239
10.140	20.365	0.239
10.150	20.426	0.239
10.160	20.479	0.239
10.170	20.549	0.239
10.180	20.602	0.239
10.190	20.672	0.239
10.200	20.729	0.239
10.210	20.799	0.239
10.220	20.869	0.239
10.230	20.926	0.239
10.240	20.987	0.239
10.250	21.040	0.239
10.260	21.101	0.239
